Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$]
TRENDPULSE,"MX.TO, Long, 2026-02-15 (Price: 66.46)",Weekly,No Exit Yet,90.0666 (Backtested Max),2026-03-27 (Min),15.79%/35.72%,"36.28%, 1.3 month","2026-04-17 (Price: 74.2400), 11.71% above",104.8718 (F-Stack 1)/122.9238 (F-Stack 2),2027-11-02 (Max)/2026-09-02 (Avg),,"82.61%, Past 10 years, 23",No Information,No Information,No Information,No Information,No Information,36.28% above/36.28% above/36.28% above,35.52%/4.99%/17.34%,"20.89%, 73.13%",1.2 year/28 days/4.6 months,11.89%,3.89%,8.0%,0.73,0.26,88.51%/148/5.1 months (Across ALL Assets),74.62%/264/3.7 months (Across ALL Assets),portfolio_target_achieved,64.36,47.63/38.425/48.7635/45.8359/No F-Track Level/No F-Track Level/51.76
FRACTAL TRACK,"GOOG, Long, 2026-02-19 (Price: 303.56)",Daily,No Exit Yet,No Price Target,2026-03-27 (Min),21.97%/25.01%,"-9.82%, 1.2 month","2026-04-17 (Price: 339.4000), 11.81% above",342.2335 (Historic Rise or Fall to Pivot)/333.916 (Avg % Gain of Historic Winning trades)/428.05 (Function Specific Target)/345.4418 (F-Stack 1)/365.3613 (F-Stack 2)/347.4548 (Backtested Max),2028-12-27 (Max)/2026-10-11 (Avg),,"91.67%, Past 5 years, 12",No Information,No Information,No Information,"23.66% (Price: 301.0579), 9.07% below, Upmove Bounce Back","2025-04-07 (Price: 142.66), 2026-02-03 (Price: 350.15)",No Information,14.46%/1.56%/10.0%,"3.48%, 43.86%",2 years/25 days/5.4 months,22.02%,19.29%,2.73%,1.63,0.99,91.54%/272/5.5 months (Across ALL Assets),48.08%/52/5.4 months (Across ALL Assets),portfolio_target_achieved,302.52,302.82/84.51/285.4807/240.3589/No F-Track Level/No F-Track Level/263.27
TRENDPULSE,"AMZN, Long, 2024-12-31 (Price: 219.39)",Monthly,2026-03-27 (Price: 199.34),No Price Target,No Date Target,22.63%/31.22%,"-9.14%, 1.3 year","2026-04-17 (Price: 250.5600), 14.21% above",276.9141 (Historic Rise or Fall to Pivot)/286.2381 (Avg % Gain of Historic Winning trades)/244.46 (Function Specific Target)/332.4197 (Backtested Max)/261.5787 (Backtested Min),2027-07-27 (Max)/2026-06-01 (Avg),,"100.0%, Past 20 years, 15",No Information,No Information,No Information,No Information,No Information,4.11% below/9.14% below/9.14% below,51.52%/19.23%/30.47%,"-0.0%, 23.74%",1.8 year/6.1 months/11.9 months,15.9%,18.33%,-2.43%,1.69,0.81,92.11%/76/10.9 months (Across ALL Assets),59.06%/127/9.7 months (Across ALL Assets),portfolio_target_achieved,209.96,84.0/81.3658/193.0625/132.2674/No F-Track Level/No F-Track Level/189.74
DELTADRIFT,"META, Long, 2026-03-23 (Price: 604.06)",Daily,2026-03-27 (Price: 525.72),No Price Target,No Date Target,18.66%/23.11%,"-12.97%, 4 days","2026-04-17 (Price: 688.5500), 13.99% above",647.1899 (Historic Rise or Fall to Pivot)/651.4183 (Avg % Gain of Historic Winning trades)/649.3 (Function Specific Target)/742.455 (Horizontal)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/687.6 (EMA 200)/693.2193 (Backtested Max)/623.8128 (Backtested Min),2026-05-04 (Max)/2026-04-07 (Avg),,"72.73%, Past 4 years, 11",No Information,No Information,No Information,No Information,No Information,No Information,14.76%/3.27%/7.84%,"19.19%, 19.41%",29 days/1 day/11 days,4.74%,13.76%,-9.02%,0.09,0.64,69.57%/138/15 days (Across ALL Assets),71.1%/526/15 days (Across ALL Assets),portfolio_target_achieved,605.787,593.66/276.89/556.264/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss
DELTADRIFT,"SPY, Long, 2026-03-16 (Price: 669.03)",Daily,2026-03-27 (Price: 634.09),No Price Target,No Date Target,6.8%/8.14%,"-5.22%, 11 days","2026-04-17 (Price: 710.1400), 6.14% above",708.369 (Historic Rise or Fall to Pivot)/685.6888 (Avg % Gain of Historic Winning trades)/697.03 (Function Specific Target)/693.77 (Horizontal)/969.1148 (F-Stack 1)/1522.3697 (F-Stack 2)/695.925 (Backtested Max)/677.1922 (Backtested Min),2026-05-02 (Max)/2026-03-31 (Avg),,"81.82%, Past 4 years, 11",No Information,No Information,No Information,No Information,No Information,No Information,4.02%/1.22%/2.49%,"5.43%, 5.45%",1.1 month/1 day/11 days,6.87%,8.78%,-1.91%,0.35,0.59,69.57%/138/15 days (Across ALL Assets),71.1%/526/15 days (Across ALL Assets),portfolio_target_achieved,668.38,662.29/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/661.63
DELTADRIFT,"BABA, Long, 2026-03-24 (Price: 125.48)",Daily,No Exit Yet,No Price Target,2026-03-25 (Min),6.33%/9.32%,"-2.22%, 3 days","2026-04-17 (Price: 141.0100), 12.38% above",136.2964 (Historic Rise or Fall to Pivot)/134.1256 (Avg % Gain of Historic Winning trades)/135.21 (Function Specific Target)/181.595 (Horizontal)/395.5515 (F-Stack 1)/453.696 (F-Stack 2)/146.12 (EMA 200)/140.8638 (Backtested Max)/130.4616 (Backtested Min),2026-05-15 (Max)/2026-04-13 (Avg),,"78.57%, Past 4 years, 14",No Information,No Information,No Information,No Information,No Information,No Information,12.26%/3.97%/6.89%,"17.99%, 17.99%",1.2 month/1 day/14 days,10.65%,-5.22%,15.87%,0.35,0.01,69.57%/138/15 days (Across ALL Assets),71.1%/526/15 days (Across ALL Assets),portfolio_target_achieved,124.36,122.41/67.495/108.0763/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss
TRENDPULSE,"PG, Long, 2026-02-15 (Price: 160.07)",Weekly,No Exit Yet,No Price Target,2026-03-27 (Min),19.21%/20.54%,"-10.85%, 1.3 month","2026-04-17 (Price: 146.9300), 8.21% below",170.1224 (Historic Rise or Fall to Pivot)/172.02 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/176.8133 (Backtested Max),2027-05-25 (Max)/2026-07-04 (Avg),,"100.0%, Past 10 years, 19",No Information,No Information,No Information,No Information,No Information,5.97% below/10.29% below/10.85% below,10.46%/1.28%/3.78%,"0%, 24.03%",10.7 months/28 days/3.2 months,6.36%,4.3%,2.06%,1.76,0.19,88.51%/148/5.1 months (Across ALL Assets),74.62%/264/3.7 months (Across ALL Assets),portfolio_target_achieved,158.76,141.79/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/153.67
DELTADRIFT,"QQQ, Long, 2026-03-24 (Price: 583.98)",Daily,No Exit Yet,No Price Target,2026-03-26 (Min),5.6%/5.71%,"-3.66%, 3 days","2026-04-17 (Price: 648.8500), 11.11% above",625.1506 (Historic Rise or Fall to Pivot)/603.3097 (Avg % Gain of Historic Winning trades)/614.23 (Function Specific Target)/636.805 (Horizontal)/836.2536 (F-Stack 1)/910.0135 (F-Stack 2)/594.07 (EMA 200)/615.2813 (Backtested Max)/594.7252 (Backtested Min),2026-07-14 (Max)/2026-04-19 (Avg),,"91.67%, Past 4 years, 12",No Information,No Information,No Information,No Information,No Information,No Information,5.36%/1.84%/3.31%,"7.84%, 13.67%",2.6 months/2 days/18 days,9.42%,9.64%,-0.22%,0.63,0.56,69.57%/138/15 days (Across ALL Assets),71.1%/526/15 days (Across ALL Assets),portfolio_target_achieved,584.82,582.06/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss
DELTADRIFT,"MCD, Long, 2026-03-24 (Price: 307.84)",Daily,No Exit Yet,No Price Target,2026-03-25 (Min),1.99%/3.36%,"-0.63%, 3 days","2026-04-17 (Price: 311.3600), 1.14% above",327.2647 (Historic Rise or Fall to Pivot)/316.1825 (Avg % Gain of Historic Winning trades)/321.72 (Function Specific Target)/321.444 (Horizontal)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/322.4932 (Backtested Max)/311.9958 (Backtested Min),2026-04-11 (Max)/2026-04-03 (Avg),,"73.33%, Past 4 years, 15",No Information,No Information,No Information,No Information,No Information,No Information,4.76%/1.35%/2.71%,"6.54%, 6.54%",13 days/1 day/7 days,5.61%,6.12%,-0.51%,0.14,0.35,69.57%/138/15 days (Across ALL Assets),71.1%/526/15 days (Across ALL Assets),portfolio_target_achieved,306.39,302.84/230.37/254.2758/233.8976/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss
DELTADRIFT,"HDB, Long, 2026-03-24 (Price: 25.12)",Daily,No Exit Yet,No Price Target,2026-03-25 (Min),6.89%/9.03%,"-3.07%, 3 days","2026-04-17 (Price: 27.5100), 9.51% above",27.0743 (Historic Rise or Fall to Pivot)/26.0268 (Avg % Gain of Historic Winning trades)/26.55 (Function Specific Target)/39.3812 (Horizontal)/40.717 (F-Stack 1)/51.346 (F-Stack 2)/34.99 (EMA 200)/26.8709 (Backtested Max),2026-07-06 (Max)/2026-04-26 (Avg),,"100.0%, Past 4 years, 16",No Information,No Information,No Information,No Information,No Information,No Information,6.97%/1.34%/3.61%,"-0.0%, 9.88%",2.4 months/1 day/23 days,15.13%,-1.6%,16.73%,2.09,-0.12,69.57%/138/15 days (Across ALL Assets),71.1%/526/15 days (Across ALL Assets),portfolio_target_achieved,25.23,No Recent Minima/No Horizontal Support/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss
DELTADRIFT,"HDFCBANK.NS, Long, 2026-03-25 (Price: 782.3)",Daily,No Exit Yet,No Price Target,2026-03-27 (Min),5.18%/6.5%,"-3.34%, 2 days","2026-04-17 (Price: 799.9000), 2.25% above",813.6702 (Historic Rise or Fall to Pivot)/805.3778 (Avg % Gain of Historic Winning trades)/809.52 (Function Specific Target)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/960.84 (EMA 200)/825.8741 (Backtested Max)/795.3644 (Backtested Min),2026-07-20 (Max)/2026-05-01 (Avg),,"81.82%, Past 4 years, 11",No Information,No Information,No Information,No Information,No Information,No Information,5.57%/1.67%/2.95%,"8.2%, 8.72%",2.7 months/2 days/26 days,5.13%,4.11%,1.02%,0.21,0.19,69.57%/138/15 days (Across ALL Assets),71.1%/526/15 days (Across ALL Assets),portfolio_target_achieved,768.2,744.15/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss
TRENDPULSE,"BTI, Long, 2026-02-01 (Price: 60.68)",Weekly,No Exit Yet,No Price Target,2026-03-25 (Min),10.47%/11.84%,"-4.75%, 1.8 month","2026-04-17 (Price: 56.6800), 6.59% below",64.6424 (Historic Rise or Fall to Pivot)/66.032 (Avg % Gain of Historic Winning trades)/63.85 (Function Specific Target)/82.226 (F-Stack 1)/92.0468 (F-Stack 2)/71.214 (Backtested Max),2027-05-11 (Max)/2026-06-28 (Avg),,"95.65%, Past 10 years, 23",No Information,No Information,No Information,No Information,No Information,4.75% below/4.21% below/4.75% below,17.36%/1.81%/8.82%,"38.64%, 57.11%",10.7 months/1.2 month/3.4 months,-0.68%,2.1%,-2.78%,0.55,0.05,88.51%/148/5.1 months (Across ALL Assets),74.62%/264/3.7 months (Across ALL Assets),portfolio_target_achieved,59.3,55.19/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/52.26
TRENDPULSE,"CNQ.TO, Long, 2026-02-22 (Price: 58.0)",Weekly,2026-03-27 (Price: 69.46),68.6522 (F-Stack 2)/69.0838 (Backtested Max),No Date Target,20.59%,"19.76%, 1.1 month","2026-04-17 (Price: 58.8100), 1.40% above",83.76 (Function Specific Target),2026-07-24 (Max)/2026-04-03 (Min)/2026-05-11 (Avg),,"86.36%, Past 10 years, 22",No Information,No Information,No Information,No Information,No Information,30.07% above/21.67% above/19.76% above,19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,-1.83%,3.94%,-5.77%,0.27,0.24,88.51%/148/5.1 months (Across ALL Assets),74.62%/264/3.7 months (Across ALL Assets),portfolio_target_achieved,55.48,43.99/34.9317/48.4386/46.0303/No F-Track Level/No F-Track Level/45.08
SIGMASHELL,"TRI.TO, Long, 2026-02-03 (Price: 125.41)",Daily,No Exit Yet,No Price Target,2026-03-27 (Min),64.12%/93.86%,"-0.92%, 1.7 month","2026-04-17 (Price: 127.4500), 1.63% above",293.2329 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/203.94 (EMA 200),2026-05-13 (Max)/2026-04-26 (Avg),,"90.0%, Past 5 years, 10","-13.7, 100.0%",No Information,No Information,No Information,No Information,No Information,13.28%/0.96%/9.61%,"5.24%, 12.83%",2.3 months/1.2 month/1.9 month,11.85%,6.18%,5.67%,0.52,0.33,60.0%/40/4.7 months (Across ALL Assets),62.81%/242/3.7 months (Across ALL Assets),portfolio_target_achieved,134.99,No Recent Minima/No Horizontal Support/93.0152/69.3828/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss
TRENDPULSE,"JD, Long, 2026-03-16 (Price: 28.49)",Daily,No Exit Yet,No Price Target,2026-03-26 (Min),3.41%/5.12%,"0.74%, 11 days","2026-04-17 (Price: 31.6000), 10.92% above",30.1681 (Historic Rise or Fall to Pivot)/29.678 (Avg % Gain of Historic Winning trades)/33.03 (Function Specific Target)/80.755 (Horizontal)/97.2627 (F-Stack 1)/102.2552 (F-Stack 2)/31.1 (EMA 200)/31.037 (Backtested Max),2026-11-14 (Max)/2026-04-22 (Avg),,"70.83%, Past 4 years, 24",No Information,No Information,No Information,No Information,No Information,1.34% above/0.74% above/0.74% above,8.94%/0.59%/4.17%,"40.68%, 51.29%",5.6 months/7 days/26 days,-13.53%,-4.79%,-8.74%,-0.19,0.05,91.84%/282/1.3 month (Across ALL Assets),80.04%/516/1.5 month (Across ALL Assets),portfolio_target_achieved,28.47,25.4/24.07/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss
FRACTAL TRACK,"FPH.NZ, Long, 2025-05-11 (Price: 35.95)",Weekly,2026-03-27 (Price: 37.2),No Price Target,No Date Target,10.03%/11.42%,"3.48%, 10.7 months","2026-04-17 (Price: 38.0300), 5.79% above",42.0723 (Avg % Gain of Historic Winning trades)/52.54 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/43.1005 (Backtested Max)/41.4468 (Backtested Min),2029-07-01 (Max)/2026-12-05 (Avg),,"100.0%, Past 20 years, 11",No Information,No Information,No Information,"23.66% (Price: 32.958), 12.87% above, Upmove Bounce Back","2018-12-16 (Price: 11.85), 2025-01-26 (Price: 39.5)",No Information,19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,9.13%,8.49%,0.64%,1.13,0.45,91.23%/57/1.5 year (Across ALL Assets),54.19%/155/7.7 months (Across ALL Assets),portfolio_target_achieved,35.3,32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss
DELTADRIFT,"INDA, Long, 2026-03-23 (Price: 47.63)",Daily,No Exit Yet,No Price Target,2026-03-25 (Min),5.49%/6.48%,"-3.8%, 4 days","2026-04-17 (Price: 51.2800), 7.66% above",49.9877 (Historic Rise or Fall to Pivot)/48.7874 (Avg % Gain of Historic Winning trades)/49.39 (Function Specific Target)/55.3975 (Horizontal)/66.8401 (F-Stack 1)/79.771 (F-Stack 2)/53.08 (EMA 200)/49.3637 (Backtested Max)/48.3349 (Backtested Min),2026-05-02 (Max)/2026-04-05 (Avg),,"78.57%, Past 4 years, 14",No Information,No Information,No Information,No Information,No Information,No Information,3.64%/1.48%/2.43%,"5.35%, 6.14%",28 days/2 days/9 days,5.73%,3.54%,2.19%,0.28,0.12,69.57%/138/15 days (Across ALL Assets),71.1%/526/15 days (Across ALL Assets),portfolio_target_achieved,47.52,46.59/39.0425/45.3705/38.12/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss
DELTADRIFT,"AIA.NZ, Long, 2026-03-25 (Price: 8.08)",Daily,No Exit Yet,No Price Target,2026-03-26 (Min),2.75%/5.58%,"-1.36%, 2 days","2026-04-17 (Price: 8.1800), 1.24% above",8.4945 (Historic Rise or Fall to Pivot)/8.4145 (Avg % Gain of Historic Winning trades)/8.45 (Function Specific Target)/8.8962 (Horizontal)/11.1706 (F-Stack 1)/12.8535 (F-Stack 2)/8.7498 (Backtested Max)/8.1891 (Backtested Min),2026-06-06 (Max)/2026-04-15 (Avg),,"88.89%, Past 4 years, 9",No Information,No Information,No Information,No Information,No Information,No Information,8.29%/1.35%/4.14%,"5.72%, 9.11%",1.7 month/1 day/15 days,10.4%,2.17%,8.23%,0.79,0.05,69.57%/138/15 days (Across ALL Assets),71.1%/526/15 days (Across ALL Assets),portfolio_target_achieved,7.96,7.93/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/8.03
FRACTAL TRACK,"SOXX, Long, 2026-03-11 (Price: 342.09)",Daily,No Exit Yet,No Price Target,2026-03-29 (Min),8.3%/14.35%,"-5.44%, 16 days","2026-04-17 (Price: 415.7100), 21.52% above",369.9019 (Historic Rise or Fall to Pivot)/378.8305 (Avg % Gain of Historic Winning trades)/484.46 (Function Specific Target)/411.0319 (F-Stack 1)/449.8184 (F-Stack 2)/390.4957 (Backtested Max)/350.3344 (Backtested Min),2028-03-08 (Max)/2026-03-29 (Min)/2026-09-09 (Avg),,"85.71%, Past 5 years, 14",No Information,No Information,No Information,"23.66% (Price: 312.6772), 3.45% above, Upmove Bounce Back","2023-04-27 (Price: 131.53), 2026-02-25 (Price: 368.82)",No Information,14.15%/2.41%/10.74%,"10.44%, 40.81%",1.4 year/13 days/4.2 months,24.17%,12.97%,11.2%,1.2,0.63,91.54%/272/5.5 months (Across ALL Assets),48.08%/52/5.4 months (Across ALL Assets),portfolio_target_achieved,340.745,323.51/110.475/301.3628/285.4342/No F-Track Level/No F-Track Level/290.06
DELTADRIFT,"FRW.NZ, Long, 2026-03-26 (Price: 12.58)",Daily,No Exit Yet,No Price Target,2026-03-27 (Min),5.2%/6.34%,"-2.23%, 1 day","2026-04-17 (Price: 12.2500), 2.62% below",13.2342 (Historic Rise or Fall to Pivot)/13.0845 (Avg % Gain of Historic Winning trades)/13.16 (Function Specific Target)/14.94 (Horizontal)/16.2179 (F-Stack 1)/21.849 (F-Stack 2)/13.08 (EMA 200)/13.2555 (Backtested Max)/12.9398 (Backtested Min),2026-05-17 (Max)/2026-04-08 (Avg),,"71.43%, Past 4 years, 7",No Information,No Information,No Information,No Information,No Information,No Information,5.37%/2.86%/4.01%,"13.71%, 14.11%",1.2 month/1 day/9 days,0.71%,4.01%,-3.3%,-0.04,0.19,69.57%/138/15 days (Across ALL Assets),71.1%/526/15 days (Across ALL Assets),portfolio_target_achieved,12.41,12.35/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss
TRENDPULSE,"TRI.TO, Short, 2026-01-31 (Price: 150.45)",Monthly,No Exit Yet,126.1128 (Horizontal),No Date Target,-37.16%/-25.14%,"17.41%, 1.8 month","2026-04-17 (Price: 127.4500), 15.29% below",78.09 (Function Specific Target)/93.0152 (F-Stack 2),2026-09-09 (Max)/2026-09-05 (Min)/2026-09-05 (Min),,"87.5%, Past 20 years, 8",No Information,No Information,No Information,No Information,No Information,34.44% below/17.41% below/17.41% below,23.76%/7.99%/13.25%,"41.99%, 25.96%",5.1 months/5 months/5 months,4.94%,4.79%,0.15%,-0.02,0.22,100.0%/3/6 months (Across ALL Assets),0.0%/7/7.2 months (Across ALL Assets),portfolio_target_achieved,181.7,278.08/240.8933/293.2329/455.2123/No F-Track Level/No F-Track Level/229.74
TRENDPULSE,"TRI.TO, Short, 2025-10-31 (Price: 214.84)",Monthly,2026-03-27 (Price: 124.26),No Price Target,No Date Target,-17.13%/-5.93%,"42.16%, 4.9 months","2026-04-17 (Price: 127.4500), 40.68% below",102.98 (Function Specific Target)/116.89 (Horizontal),2026-06-09 (Max)/2026-06-05 (Min)/2026-06-05 (Min),,"87.5%, Past 20 years, 8",No Information,No Information,No Information,No Information,No Information,42.5% below/42.16% below/42.16% below,23.76%/7.99%/13.25%,"41.99%, 25.96%",5.1 months/5 months/5 months,4.94%,4.79%,0.15%,-0.02,0.22,100.0%/3/6 months (Across ALL Assets),0.0%/7/7.2 months (Across ALL Assets),portfolio_target_achieved,216.11,278.08/240.8933/293.2329/455.2123/No F-Track Level/No F-Track Level/249.35
TRENDPULSE,"TRI.TO, Short, 2025-09-30 (Price: 216.1)",Monthly,2026-03-27 (Price: 124.26),No Price Target,No Date Target,-16.72%/-5.93%,"42.5%, 5.9 months","2026-04-17 (Price: 127.4500), 41.02% below",103.48 (Function Specific Target)/116.89 (Horizontal),2026-05-09 (Max)/2026-05-05 (Min)/2026-05-05 (Min),,"87.5%, Past 20 years, 8",No Information,No Information,No Information,No Information,No Information,49.05% below/48.64% below/42.5% below,23.76%/7.99%/13.25%,"41.99%, 25.96%",5.1 months/5 months/5 months,4.94%,4.79%,0.15%,-0.02,0.22,100.0%/3/6 months (Across ALL Assets),0.0%/7/7.2 months (Across ALL Assets),portfolio_target_achieved,244.35,278.08/240.8933/293.2329/455.2123/No F-Track Level/No F-Track Level/250.82
DELTADRIFT,"JPM, Short, 2025-10-31 (Price: 311.12)",Monthly,2026-03-27 (Price: 282.84),No Price Target,No Date Target,-55.54%,"9.09%, 4.9 months","2026-04-17 (Price: 310.2900), 0.27% below",125.7575 (Horizontal),No Next Date Target,,"80.0%, Past 45 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,7.59%/5.25%/6.44%,"20.94%, 8.48%",3 months/2 months/2.4 months,2.69%,4.88%,-2.19%,-0.03,0.32,40.0%/5/2.5 months (Across ALL Assets),33.33%/3/5 months (Across ALL Assets),portfolio_target_achieved,313.97,315.43/No Horizontal Resistance/328.9175/381.492/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss
FRACTAL TRACK,"AMD, Short, 2026-03-18 (Price: 199.46)",Daily,2026-03-25 (Price: 220.27),No Price Target,2026-03-29 (Avg),-64.33%/-19.85%,"-1.27%, 9 days","2026-04-17 (Price: 278.3900), 39.57% above",198.6622 (Historic Rise or Fall to Pivot)/190.8633 (Avg % Gain of Historic Winning trades)/161.89 (Function Specific Target)/72.05 (Horizontal)/187.3421 (F-Stack 1)/170.075 (F-Stack 2)/195.16 (EMA 200),2026-06-04 (Max)/2026-03-29 (Avg),,"85.0%, Past 5 years, 40",No Information,No Information,No Information,"88.6% (Price: 257.9836), 21.7% below, Upmove Break Below","2026-01-23 (Price: 256.25), 2026-03-03 (Price: 193.64)",No Information,8.59%/0.06%/4.31%,"24.21%, 11.06%",1.8 month/1 day/8 days,20.24%,5.1%,15.14%,0.39,0.6,42.86%/7/11 days (Across ALL Assets),42.86%/7/5 days (Across ALL Assets),portfolio_target_achieved,196.125,204.83/267.02/273.8526/307.9609/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss
DELTADRIFT,"SUM.NZ, Long, 2026-03-24 (Price: 9.31)",Daily,No Exit Yet,No Price Target,2026-03-25 (Min),1.18%/2.21%,"0.11%, 3 days","2026-04-17 (Price: 8.2500), 11.39% below",9.4301 (Historic Rise or Fall to Pivot)/9.661 (Avg % Gain of Historic Winning trades)/9.55 (Function Specific Target)/12.64 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/11.36 (EMA 200)/9.8193 (Backtested Max)/9.526 (Backtested Min),2026-06-18 (Max)/2026-04-20 (Avg),,"71.43%, Past 4 years, 14",No Information,No Information,No Information,No Information,No Information,No Information,5.47%/2.32%/3.77%,"6.69%, 10.0%",2 months/1 day/19 days,5.72%,-0.28%,6.0%,0.18,-0.09,69.57%/138/15 days (Across ALL Assets),71.1%/526/15 days (Across ALL Assets),portfolio_target_achieved,9.12,9.09/9.1367/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss
TRENDPULSE,"SUM.NZ, Long, 2024-11-30 (Price: 12.83)",Monthly,2026-03-27 (Price: 9.32),No Price Target,No Date Target,49.77%/50.68%,"-27.36%, 1.3 year","2026-04-17 (Price: 8.2500), 35.70% below",13.959 (Historic Rise or Fall to Pivot)/15.7103 (Avg % Gain of Historic Winning trades)/14.55 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.8452 (Backtested Max)/14.0437 (Backtested Min),2027-08-17 (Max)/2026-05-05 (Avg),,"83.33%, Past 20 years, 12",No Information,No Information,No Information,No Information,No Information,22.01% below/25.74% below/27.36% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,92.11%/76/10.9 months (Across ALL Assets),59.06%/127/9.7 months (Across ALL Assets),portfolio_target_achieved,12.4,8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/11.15
TRENDPULSE,"SUM.NZ, Long, 2024-10-31 (Price: 12.39)",Monthly,2026-03-27 (Price: 9.32),No Price Target,No Date Target,44.64%/45.52%,"-24.78%, 1.4 year","2026-04-17 (Price: 8.2500), 33.41% below",13.4803 (Historic Rise or Fall to Pivot)/15.1716 (Avg % Gain of Historic Winning trades)/14.37 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.2333 (Backtested Max)/13.5621 (Backtested Min),2027-07-18 (Max)/2026-04-05 (Avg),,"83.33%, Past 20 years, 12",No Information,No Information,No Information,No Information,No Information,22.01% below/24.78% below/24.78% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,92.11%/76/10.9 months (Across ALL Assets),59.06%/127/9.7 months (Across ALL Assets),portfolio_target_achieved,11.89,8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/10.96
